business_id,total_review_count
ROeacJQwBeh05Rqg7F6TCg,4
kfNv-JZpuN6TVNSO6hHdkw,2
9OG5YkX1g2GReZM0AskizA,8
aPNXGTDkf-4bjhyMBQxqpQ,4
7PDi_iyik3jraDAzWwwR4Q,5
IDtLPgUrqorrpqSLdfMhZQ,16
YNjyv0gfOr2g8lbmUpTnKg,24
oaboaRBUgGjbo2kfUIKDLQ,2
EuRGgOwJ0g1vTj2R04j37Q,8
TLZ3-eDPLhUzfsWO4ad6Ug,5
sB45WFgysT617bKWP_WJwA,20
3BJxm-HnvzdwD1zjmSbmyQ,5
zFvqulgAYOpSG2t1v8AZ-w,8
SZU9c8V2GuREDN5KgyHFJw,51
hUQ9Z7kQeabvhPOAQOVV1A,2
ORL4JE6tz3rJxVqkdKfegA,25
FTFtoylMzkrzqNVSl-bkKw,2
CtMEJxpVMlNzFpB4PtFjfA,3
Y6heWJJ9AmEL58fZwgi9YQ,7
uDQgmudYDKiB6n4vwbEeDg,9
gYMOrd8xnZF-B61lwGiFUw,2
Pr_Mlt9FqdcW7WCFGJmozA,3
f82dhKNiUXsDVPMLqKYiIQ,9
DeN5N6B78gysROm_Sq2kWA,2
1P_mGUY1PyPq7_ZabrzpBw,3
0DbIUh_Xuj6H5B_SF0RLCQ,2
dChRGpit9fM_kZK5pafNyA,25
KdkMXzeoqpfNsZd-_axoTQ,7
j9Kaj_6tSeXmVMYCgZithg,18
pYC5fKcpj8GKjSAc7Sl3RQ,2
7mpYTDb24SywNMRn3yeakQ,7
iEC0VzHM2hQ13wM7c0QwgQ,4
C43IEVBroD_3YiumPPLLdQ,3
xDEee0p41GueCDN0EAp-YA,3
NIV7uxsE8rn8cB1t-FsJHg,3
D7z_V6E8cxXghSRcHAmUPg,4
VeFfrEZ4iWaecrQg6Eq4cg,2
rR30b1XWbxZFFgLyGbfNAw,15
pJB63RaQpkTIKBhfTsLQQg,3
TapXvuOEC3qGGmlf03INnA,2
SwWfW3vBn5QkDE7T3urGAg,4
W4rgF_1eKzFZiGUOsgbGMA,2
yN6jZyG1G1FG_HCZQlJZ1g,5
diwwt5QBU3-Thig9SVlsOA,12
TJe1ZGe-X0-GjOQd00kKxA,6
wR8V8u3_wv-yjR-CIHyY0Q,2
YKsZFlfTUNAzuDTTkArh0A,2
qma1sGQv7ArUtzuUTQElRg,8
-kY_HDP7IMvGl-kBIZVU4A,3
UX3eq0WsVva-cqlVrzyzFg,5
URx5X3g4IoDHbIidFO0bLA,2
18eWJFJbXyR9j_5xfcRLYA,6
71U7MxQEhwitJOm4CQpRwQ,6
sWCCxY1-9B1FGlSVeQvnHg,3
ZH-D4qbLggBSvwpF0zXrQQ,4
1ddqdY_piKp-abaZ-bGRSA,3
wMyHVb54Ne9SNasa4kjOCg,18
4FaYG9qKDpDyr68bKmaIEw,2
rqaIe-61HKlWaGYmVwlw8Q,3
Wc-c_hQK4vFCl9keeVTUZw,9
uKFYm0R8Fuf3H2vihxEobA,5
Iuir7lUtx-LMhYtStwyf3Q,10
skN2XhKXlcjf53uIwzAedw,3
I2CxrvM0BGH1svfxqGGD2g,5
TLYSUOV-_aL33mAjH5SY9Q,8
QpPc51mH86xyrRmnFijpTQ,2
W4ZEKkva9HpAdZG88juwyQ,10
sZyBB8wv0O1We1x40-Edug,3
GhBM8Aqfeeel8rW4S88iAQ,5
rBE5TT_ndOOczNBrbRnJwA,9
oRZzKWdyMQld6N_y4UWkAg,5
